Date,Opponent,TV,Home
08/31/16 01:05 PM,Mariners,FSSW,false
09/02/16 07:05 PM,Astros,FSSW,false
09/03/16 03:05 PM,Astros,FSSW,false
09/04/16 02:05 PM,Astros,FSSW,false
09/05/16 03:10 PM,Mariners,FSSW,false
09/06/16 09:10 PM,Mariners,FSSW,false
09/07/16 09:10 PM,Mariners,FSSW,false
09/08/16 09:10 PM,Mariners,FSSW,false
09/09/16 09:05 PM,Angels,FSSW,false
09/10/16 08:05 PM,Angels,FSSW,false
09/11/16 12:00 PM,Angels,FSSW,false
09/12/16 07:10 PM,Astros,FSSW,false
09/13/16 07:10 PM,Astros,FSSW,false
09/14/16 07:10 PM,Astros,FSSW,false
09/16/16 07:05 PM,Athletics,FSSW,false
09/17/16 07:05 PM,Athletics,FSSW,false
09/18/16 02:05 PM,Athletics,FSSW,false
09/19/16 07:05 PM,Angels,FSSW,false
09/20/16 07:05 PM,Angels,FSSW,false
09/21/16 07:05 PM,Angels,FSSW,false
09/23/16 08:35 PM,Athletics,FSSW,false
09/24/16 03:05 PM,Athletics,FSSW,false
09/25/16 03:05 PM,Athletics,FSSW,false
09/26/16 07:05 PM,Brewers,FSSW,false
09/27/16 07:05 PM,Brewers,FSSW,false
09/28/16 07:05 PM,Brewers,FSSW,false
09/30/16 07:05 PM,Rays,FSSW,false
10/01/16 07:05 PM,Rays,FSSW,false
10/02/16 02:05 PM,Rays,FSSW,false
